seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
74,44782552320,44782703080,150760,18160,3760,3720,13480,22960,26680,28120,64160,-3600,ok
75,44782805880,44782955880,150000,18080,3760,3720,12760,23000,26720,27880,64400,-3600,ok
76,44783092680,44783246280,153600,19400,3760,3760,13600,22680,26440,28440,65560,-3600,ok
77,44783348240,44783501160,152920,18320,3760,3720,12920,23080,26800,28400,66320,-3600,ok
78,44783603240,44783755040,151800,18560,3800,3800,13280,23360,27160,28080,64560,-3640,ok
79,44783856560,44784054760,198200,18720,3760,3760,13160,22520,26280,28080,111840,-3640,ok
80,44784158720,44784313080,154360,18840,3640,3640,13760,23240,26880,28720,66000,-3480,ok
81,44784416240,44784570080,153840,18280,3600,3600,13080,22600,26200,29240,66880,-3440,ok
82,44784672200,44784823960,151760,18280,3600,3600,13000,23240,26840,28640,64840,-3440,ok
83,44784926040,44785076720,150680,18080,3640,3600,12920,22960,26560,28320,64600,-3440,ok
84,44785178800,44785329280,150480,18280,3600,3600,13680,21360,24960,28280,65120,-3440,ok
85,44785430600,44785582960,152360,17800,3600,3600,12840,22920,26520,28280,66720,-3400,ok
86,44785684320,44785836160,151840,18200,3640,3600,13440,23000,26600,28520,64920,-3480,ok
87,44785971560,44786123880,152320,18320,3840,3800,13560,23560,27360,27760,65120,-3640,ok
88,44786225480,44786376280,150800,18680,3720,3720,13200,22720,26440,27760,64560,-3560,ok
89,44786477880,44786629880,152000,17920,3760,3720,13000,22920,26640,27880,66360,-3560,ok
90,44786730760,44786881960,151200,18280,3760,3720,13200,24040,27760,27600,64200,-3600,ok
91,44786983960,44787134240,150280,17880,3760,3760,12680,23640,27400,27840,64320,-3600,ok
92,44787235440,44787385360,149920,18080,3720,3720,13560,22200,25920,27600,64600,-3560,ok
93,44787486760,44787636720,149960,18200,3760,3800,12960,23040,26840,27880,63920,-3600,ok
94,44787737880,44787889880,152000,18040,3800,3760,13280,24240,28000,28120,64360,-3600,ok
95,44787991480,44788196040,204560,69720,3280,3400,12960,24400,27800,27200,66920,-3320,ok
96,44788300440,44788453160,152720,18880,3800,3800,13240,23720,27520,28480,64440,-3640,ok
97,44788555320,44788708080,152760,17960,3760,3720,13160,22840,26560,28320,66600,-3600,ok
98,44788809560,44788960240,150680,18120,3560,3760,13200,23280,27040,28080,64240,-3560,ok
99,44789130640,44789287920,157280,20320,3400,3560,13240,25640,29200,28520,66000,-3400,ok
100,44789391880,44789543600,151720,18480,3400,3560,13520,22960,26520,28120,65080,-3400,ok
101,44789643600,44789795600,152000,18280,3480,3600,13040,22680,26280,27840,66520,-3440,ok
102,44789895760,44790046440,150680,18200,3440,3600,13280,23080,26680,27720,64840,-3480,ok
103,44790145760,44790295600,149840,17920,3480,3600,13320,22520,26120,27760,64680,-3440,ok
104,44790395200,44790545440,150240,18320,3400,3560,13160,22720,26280,27760,64720,-3400,ok
105,44790645000,44790794280,149280,17960,3440,3600,13040,22560,26160,27640,64480,-3440,ok
106,44790893800,44791045920,152120,18080,3440,3600,12960,23800,27400,28280,65360,-3400,ok
107,44791145280,44791295640,150360,18040,3440,3600,13120,23120,26720,27800,64680,-3440,ok
108,44791395400,44791546320,150920,18480,3480,3600,13440,22560,26160,28000,64840,-3480,ok
109,44791645920,44791795600,149680,18040,3480,3560,12920,22880,26440,27640,64640,-3480,ok
110,44791928400,44792129240,200840,18840,3600,3720,13440,25360,29080,69480,69960,-3560,ok
111,44792233960,44792388000,154040,18440,3560,3720,12960,24320,28040,28560,66040,-3560,ok
112,44792488600,44792640120,151520,18560,3640,3760,13160,22560,26320,28080,65400,-3640,ok
113,44792740840,44792891800,150960,18440,3600,3760,13160,22240,26000,27840,65520,-3600,ok
114,44792992720,44793145120,152400,18080,3560,3720,13120,24080,27800,28400,65000,-3560,ok
115,44793246240,44793397120,150880,18160,3600,3760,13040,23200,26960,27880,64840,-3600,ok
116,44793498360,44793648760,150400,18240,3600,3760,13040,22880,26640,27720,64800,-3640,ok
117,44793750720,44793900840,150120,18320,3560,3720,12840,22760,26480,27720,64760,-3560,ok
118,44794001840,44794153760,151920,18160,3560,3720,13320,23800,27520,28280,64680,-3600,ok
119,44794255120,44794405680,150560,17960,3680,3760,12920,23440,27200,27720,64760,-3680,ok
120,44794506880,44794657120,150240,18480,3560,3720,13280,22720,26440,27520,64560,-3600,ok
121,44794758520,44794909120,150600,18240,3600,3760,12800,22880,26640,27640,65280,-3600,ok
122,44795044240,44795200000,155760,19480,3680,3840,13240,24800,28640,28520,65880,-3680,ok
123,44795301680,44795453440,151760,18280,3640,3800,13280,23160,26960,28320,64920,-3640,ok
124,44795554160,44795704520,150360,18280,3640,3760,13320,22040,25800,28080,64880,-3640,ok
125,44795805040,44795955440,150400,18320,3600,3760,13000,22560,26320,28240,64520,-3600,ok
126,44796113080,44796268000,154920,18960,3480,3640,13280,23040,26680,29600,66440,-3520,ok
127,44796371000,44796521480,150480,17880,3440,3560,13480,22560,26120,28520,64480,-3440,ok
128,44796622720,44796773160,150440,18080,3480,3640,13240,21920,25560,28800,64800,-3520,ok
129,44796874360,44797023600,149240,17680,3480,3640,13280,22200,25840,28160,64280,-3480,ok
130,44797124200,44797275120,150920,17840,3520,3680,13280,22600,26280,28760,64760,-3520,ok
131,44797375880,44797525720,149840,17800,3480,3600,13120,22680,26280,28080,64560,-3480,ok
132,44797626320,44797776520,150200,18160,3440,3600,13360,21960,25560,28240,64880,-3440,ok
133,44797911840,44798064600,152760,18600,3600,3800,13440,23800,27600,27960,65160,-3600,ok
134,44798166240,44798317200,150960,18200,3600,3760,13720,22880,26640,27960,64440,-3600,ok
135,44798418080,44798568600,150520,17840,3600,3760,13280,23280,27040,27960,64400,-3600,ok
136,44798669360,44798819240,149880,18280,3680,3800,13200,22800,26600,27640,64160,-3680,ok
137,44798920120,44799069720,149600,17680,3680,3840,13080,22920,26760,27760,64320,-3680,ok
138,44799169960,44799322360,152400,18120,3640,3800,13240,24400,28200,28080,64760,-3640,ok
139,44799423280,44799574480,151200,18000,3600,3760,12920,24120,27880,27760,64640,-3600,ok
140,44799675120,44799825640,150520,18040,3600,3720,13240,23320,27040,27680,64520,-3600,ok
141,44799926280,44800123000,196720,17760,3600,3760,12760,23080,26840,69480,69880,-3600,ok
142,44800226600,44800380400,153800,17960,3600,3760,13400,25040,28800,28880,64760,-3600,ok
143,44800481240,44800632440,151200,17920,3600,3760,12880,23760,27520,27680,65200,-3600,ok
144,44800732840,44800884120,151280,18440,3560,3720,13040,23240,26960,27840,65000,-3560,ok
145,44801054920,44801213240,158320,20400,3440,3400,13080,26360,29760,28200,66680,-3240,ok
146,44801317280,44801470280,153000,18000,3440,3560,13240,24320,27880,28400,65480,-3440,ok
147,44801571800,44801722800,151000,18160,3440,3560,13200,23520,27080,27680,64880,-3440,ok
148,44801823600,44801973920,150320,18080,3440,3560,13200,22720,26280,27840,64880,-3400,ok
149,44802074760,44802225480,150720,18160,3400,3560,12840,23680,27240,27800,64680,-3400,ok
150,44802326520,44802478600,152080,18040,3440,3600,12800,24640,28240,28320,64680,-3440,ok
151,44802579440,44802730480,151040,18080,3440,3520,13120,24000,27520,27640,64640,-3400,ok
