seq,payload_len,total_len,t0_ns,t1_ns,rtt_ns,rtt_adj_ns,clock_overhead_ns,remote_turnaround_ns,rx_len,status
100,4,4,4257517891720,4257518047400,155680,154720,960,0,4,ok
101,4,4,4257518062080,4257518215160,153080,152120,960,0,4,ok
102,4,4,4257518229800,4257518387160,157360,156400,960,0,4,ok
103,4,4,4257518401680,4257518555880,154200,153240,960,0,4,ok
104,4,4,4257518570480,4257518725760,155280,154320,960,0,4,ok
105,4,4,4257518740360,4257518892880,152520,151560,960,0,4,ok
106,4,4,4257518907480,4257519062520,155040,154080,960,0,4,ok
107,4,4,4257519077000,4257519230240,153240,152280,960,0,4,ok
108,4,4,4257519244840,4257519402040,157200,156240,960,0,4,ok
109,4,4,4257519447760,4257519610680,162920,161960,960,0,4,ok
110,4,4,4257519625440,4257519780960,155520,154560,960,0,4,ok
111,4,4,4257519795560,4257519949880,154320,153360,960,0,4,ok
112,4,4,4257519964480,4257520168680,204200,203240,960,0,4,ok
113,4,4,4257520183400,4257520343600,160200,159240,960,0,4,ok
114,4,4,4257520358160,4257520516680,158520,157560,960,0,4,ok
115,4,4,4257520531320,4257520687720,156400,155440,960,0,4,ok
116,4,4,4257520702280,4257520857840,155560,154600,960,0,4,ok
117,4,4,4257520872320,4257521027880,155560,154600,960,0,4,ok
118,4,4,4257521042440,4257521197720,155280,154320,960,0,4,ok
119,4,4,4257521212360,4257521368400,156040,155080,960,0,4,ok
120,4,4,4257521383000,4257521540440,157440,156480,960,0,4,ok
121,4,4,4257521554880,4257521710720,155840,154880,960,0,4,ok
122,4,4,4257521725240,4257521880600,155360,154400,960,0,4,ok
123,4,4,4257521895160,4257522051000,155840,154880,960,0,4,ok
124,4,4,4257522065640,4257522220760,155120,154160,960,0,4,ok
125,4,4,4257522235280,4257522390880,155600,154640,960,0,4,ok
126,4,4,4257522441440,4257522609320,167880,166920,960,0,4,ok
127,4,4,4257522624000,4257522780840,156840,155880,960,0,4,ok
128,4,4,4257522795320,4257522952000,156680,155720,960,0,4,ok
129,4,4,4257522966640,4257523121920,155280,154320,960,0,4,ok
130,4,4,4257523136520,4257523292800,156280,155320,960,0,4,ok
131,4,4,4257523307280,4257523462960,155680,154720,960,0,4,ok
132,4,4,4257523477600,4257523636000,158400,157440,960,0,4,ok
133,4,4,4257523650680,4257523805920,155240,154280,960,0,4,ok
134,4,4,4257523820560,4257523976920,156360,155400,960,0,4,ok
135,4,4,4257523991320,4257524202280,210960,210000,960,0,4,ok
136,4,4,4257524217320,4257524372920,155600,154640,960,0,4,ok
137,4,4,4257524387520,4257524541800,154280,153320,960,0,4,ok
138,4,4,4257524556400,4257524712560,156160,155200,960,0,4,ok
139,4,4,4257524727000,4257524881560,154560,153600,960,0,4,ok
140,4,4,4257524896080,4257525050600,154520,153560,960,0,4,ok
141,4,4,4257525065280,4257525218960,153680,152720,960,0,4,ok
142,4,4,4257525233480,4257525387360,153880,152920,960,0,4,ok
143,4,4,4257525467680,4257525641920,174240,173280,960,0,4,ok
144,4,4,4257525656960,4257525813120,156160,155200,960,0,4,ok
145,4,4,4257525827680,4257525983960,156280,155320,960,0,4,ok
146,4,4,4257525998480,4257526154360,155880,154920,960,0,4,ok
147,4,4,4257526169040,4257526324600,155560,154600,960,0,4,ok
148,4,4,4257526339240,4257526493800,154560,153600,960,0,4,ok
149,4,4,4257526508320,4257526665840,157520,156560,960,0,4,ok
150,4,4,4257526680600,4257526836560,155960,155000,960,0,4,ok
151,4,4,4257526851160,4257527007040,155880,154920,960,0,4,ok
152,4,4,4257527021560,4257527176200,154640,153680,960,0,4,ok
153,4,4,4257527190720,4257527347080,156360,155400,960,0,4,ok
154,4,4,4257527361680,4257527516440,154760,153800,960,0,4,ok
155,4,4,4257527531040,4257527687040,156000,155040,960,0,4,ok
156,4,4,4257527701600,4257527859040,157440,156480,960,0,4,ok
157,4,4,4257527873560,4257528078920,205360,204400,960,0,4,ok
158,4,4,4257528094120,4257528255920,161800,160840,960,0,4,ok
159,4,4,4257528270520,4257528424880,154360,153400,960,0,4,ok
160,4,4,4257528476880,4257528643120,166240,165280,960,0,4,ok
161,4,4,4257528657920,4257528815880,157960,157000,960,0,4,ok
162,4,4,4257528830560,4257528986480,155920,154960,960,0,4,ok
163,4,4,4257529001040,4257529156240,155200,154240,960,0,4,ok
164,4,4,4257529170920,4257529326160,155240,154280,960,0,4,ok
165,4,4,4257529340760,4257529495920,155160,154200,960,0,4,ok
166,4,4,4257529510440,4257529665760,155320,154360,960,0,4,ok
167,4,4,4257529680320,4257529838280,157960,157000,960,0,4,ok
168,4,4,4257529852960,4257530008880,155920,154960,960,0,4,ok
169,4,4,4257530023360,4257530178480,155120,154160,960,0,4,ok
