seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
74,44570116960,44570266640,149680,18320,3520,3840,14080,21040,24880,28520,63760,-3400,ok
75,44570368120,44570516280,148160,18400,3400,3720,13080,21480,25200,28240,63080,-3240,ok
76,44570653000,44570804280,151280,19520,3560,3880,13600,22040,25920,28320,63760,-3400,ok
77,44570907640,44571056920,149280,18480,3400,3720,13160,21880,25600,28160,63720,-3240,ok
78,44571157840,44571308120,150280,18600,3520,3840,13840,21840,25680,28600,63400,-3360,ok
79,44571408680,44571557680,149000,18440,3400,3720,13520,21680,25400,28040,63480,-3280,ok
80,44571658160,44571806280,148120,18680,3560,3880,14440,19840,23720,28200,62920,-3400,ok
81,44571906720,44572105680,198960,18440,3400,3720,13040,21280,25000,28080,114280,-3280,ok
82,44572208560,44572362000,153440,18840,3640,3960,14040,22360,26320,29040,65040,-3480,ok
83,44572463040,44572613000,149960,18440,3400,3680,13760,21320,25000,28160,64440,-3240,ok
84,44572713280,44572862520,149240,18400,3560,3880,13400,21200,25080,28320,63880,-3400,ok
85,44572963040,44573111760,148720,18480,3400,3720,13600,20760,24480,27840,64160,-3240,ok
86,44573211960,44573362320,150360,18280,3560,3880,13800,21960,25840,28480,63800,-3400,ok
87,44573496920,44573649440,152520,19400,3800,4120,13240,23320,27440,28080,64200,-3640,ok
88,44573752680,44573902440,149760,18480,3440,3760,14280,20160,23920,28400,64560,-3320,ok
89,44574003520,44574151680,148160,18000,3720,4120,13120,21720,25840,27880,63160,-3560,ok
90,44574252280,44574402800,150520,18320,3560,3920,13480,22320,26240,28520,63880,-3480,ok
91,44574503880,44574652800,148920,18760,3720,4160,13440,21360,25520,27920,63120,-3560,ok
92,44574753360,44574901720,148360,18520,3560,3920,13960,20240,24160,28320,63240,-3400,ok
93,44575002560,44575150280,147720,18360,3680,4000,12960,21280,25280,28200,62760,-3520,ok
94,44575250600,44575401080,150480,18400,3560,3880,13960,20200,24080,28480,65440,-3440,ok
95,44575501960,44575650480,148520,18320,3680,4000,13560,21720,25720,28360,62400,-3520,ok
96,44575750960,44575900000,149040,18880,3560,3880,14040,20560,24440,28560,62960,-3400,ok
97,44576051680,44576201160,149480,20960,3280,3800,13560,20080,23880,27600,63480,-3280,ok
98,44576303320,44576454360,151040,18320,3560,3840,14200,20320,24160,29240,64960,-3400,ok
99,44576623360,44576780560,157200,20840,3280,3560,13200,25760,29320,29360,64360,-3160,ok
100,44576884160,44577033880,149720,18360,3560,3880,13920,20680,24560,28440,64320,-3440,ok
101,44577133960,44577282080,148120,18440,3760,4080,13640,20720,24800,28000,63080,-3600,ok
102,44577382160,44577533560,151400,18440,3600,3920,13720,21600,25520,29040,64520,-3440,ok
103,44577633720,44577781960,148240,18360,3720,4040,13560,21120,25160,28200,62840,-3600,ok
104,44577881960,44578031720,149760,18800,3560,3880,14240,20320,24200,28400,63960,-3400,ok
105,44578131560,44578279560,148000,18040,3760,4040,13520,20880,24920,28160,63240,-3640,ok
106,44578379720,44578530320,150600,18320,3560,3840,14280,19800,23640,28400,65800,-3400,ok
107,44578630520,44578779080,148560,18240,3600,3960,14160,20600,24560,28600,62880,-3480,ok
108,44578879960,44579028560,148600,18360,3400,3720,13880,20360,24080,28360,63760,-3240,ok
109,44579128920,44579277080,148160,18120,3560,3880,13920,20800,24680,28200,63080,-3400,ok
110,44579410600,44579563480,152880,19200,3520,4040,13640,21240,25280,28960,65640,-3360,ok
111,44579666120,44579814920,148800,18160,3400,3720,13360,21400,25120,28480,63560,-3280,ok
112,44579915440,44580113880,198440,18800,3520,3840,14000,20840,24680,70560,70280,-3400,ok
113,44580217360,44580367560,150200,18360,3480,3800,13400,21280,25080,28480,64720,-3320,ok
114,44580468080,44580618640,150560,18440,3600,3960,13800,20120,24080,28080,66040,-3480,ok
115,44580718480,44580867960,149480,18480,3440,3800,13440,21240,25040,28160,64200,-3280,ok
116,44580967640,44581116240,148600,18400,3600,3960,13400,20800,24760,28160,63760,-3480,ok
117,44581216480,44581364760,148280,18280,3360,3760,13520,20640,24400,27960,63960,-3200,ok
118,44581464680,44581613920,149240,18280,3560,3880,14240,20160,24040,28400,64120,-3400,ok
119,44581714200,44581864840,150640,18080,3400,3760,13360,22000,25760,28880,64400,-3240,ok
120,44581964880,44582114920,150040,18840,3560,3880,14040,20480,24360,28200,64440,-3400,ok
121,44582214960,44582363120,148160,18160,3400,3720,13600,20640,24360,27840,64040,-3240,ok
122,44582498000,44582649880,151880,19520,3600,3800,13400,22640,26440,28720,63680,-3480,ok
123,44582752200,44582903000,150800,18240,3400,3720,13560,21960,25680,28720,64440,-3240,ok
124,44583003640,44583152600,148960,18600,3560,3880,13680,21040,24920,28000,63640,-3440,ok
125,44583252560,44583400680,148120,18560,3360,3720,13160,21280,25000,27840,63400,-3200,ok
126,44583500040,44583648800,148760,18200,3560,3880,14160,20080,23960,28520,63760,-3400,ok
127,44583748560,44583898520,149960,18080,3360,3720,13360,21880,25600,28520,64240,-3200,ok
128,44583998400,44584196280,197880,68680,2960,3640,13640,20680,24320,26920,64320,-2960,ok
129,44584297920,44584447240,149320,18360,3400,3720,13760,20640,24360,28520,64160,-3240,ok
130,44584547520,44584696760,149240,18280,3560,3880,13960,20320,24200,29040,63600,-3400,ok
131,44584797600,44584948280,150680,18080,3440,3760,13840,21920,25680,28680,64280,-3320,ok
132,44585048040,44585196400,148360,18280,3600,3920,13600,20840,24760,28520,63080,-3480,ok
133,44585332040,44585483480,151440,19000,3560,3880,13640,22600,26480,28360,63800,-3400,ok
134,44585585760,44585734680,148920,18280,3440,3800,13760,20600,24400,28440,63880,-3280,ok
135,44585835120,44585985280,150160,17920,3600,3880,13760,21600,25480,28880,63960,-3440,ok
136,44586085280,44586235080,149800,18600,3400,3720,14080,21120,24840,28320,63880,-3320,ok
137,44586335920,44586484720,148800,17960,3600,3920,13240,21280,25200,28320,63960,-3480,ok
138,44586584640,44586732640,148000,18280,3400,3720,14160,20120,23840,28160,63400,-3240,ok
139,44586833240,44586983280,150040,18120,3560,3880,12960,22320,26200,28680,63920,-3400,ok
140,44587083600,44587232520,148920,18320,3400,3760,13760,20640,24400,28440,63880,-3280,ok
141,44587333160,44587481920,148760,18160,3560,3840,13280,21400,25240,28440,63520,-3440,ok
142,44587582240,44587730640,148400,18280,3400,3600,13560,20640,24240,28600,63560,-3240,ok
143,44587830840,44587980720,149880,17920,3560,3880,13240,20960,24840,28200,65560,-3440,ok
144,44588135120,44588288440,153320,20080,3120,3600,13680,22000,25600,28120,65680,-2960,ok
145,44588455880,44588612720,156840,20480,3240,3640,12960,24960,28600,29720,64920,-3080,ok
146,44588717080,44588866200,149120,18160,3400,3720,14000,20920,24640,28240,63920,-3240,ok
147,44588967120,44589117120,150000,18440,3600,3920,13160,21880,25800,28920,63560,-3480,ok
148,44589217200,44589366320,149120,18320,3400,3720,13520,21560,25280,28480,63360,-3240,ok
149,44589466880,44589615680,148800,18400,3560,3920,13320,20760,24680,28560,63680,-3400,ok
150,44589715320,44589864120,148800,18320,3360,3680,14000,20480,24160,28600,63560,-3200,ok
151,44589964480,44590115400,150920,18720,3560,3880,13440,21920,25800,28800,64000,-3400,ok
152,44590215120,44590365640,150520,18680,3400,3720,13840,21480,25200,28680,63960,-3240,ok
153,44590466400,44590615640,149240,18480,3560,3840,12920,21400,25240,29120,63360,-3440,ok
154,44590715040,44590864040,149000,18760,3360,3680,13280,20880,24560,28360,63920,-3240,ok
155,44590964480,44591115680,151200,18680,3560,3880,13840,21000,24880,28400,65280,-3440,ok
156,44591247520,44591399920,152400,19560,3560,3840,13600,22960,26800,28720,63560,-3400,ok
157,44591502320,44591652840,150520,18800,3400,3720,13040,22200,25920,28280,64360,-3280,ok
158,44591753160,44591902880,149720,18840,3560,3880,13600,20840,24720,27920,64480,-3400,ok
159,44592056160,44592208840,152680,20880,3080,3600,13080,22480,26080,27680,64840,-2960,ok
160,44592310840,44592460880,150040,18400,3680,4000,13520,21720,25720,28440,63800,-3520,ok
161,44592561920,44592710000,148080,18520,3360,3600,13560,20880,24480,28400,63000,-3240,ok
162,44592810440,44592959720,149280,18360,3520,3920,13560,20800,24720,28320,64200,-3400,ok
163,44593059920,44593210760,150840,18920,3400,3760,13440,21240,25000,28400,64960,-3280,ok
164,44593311120,44593460800,149680,18560,3560,3880,13840,21120,25000,28480,63640,-3400,ok
165,44593560800,44593709360,148560,18840,3400,3720,13120,21200,24920,28560,62960,-3240,ok
166,44593809800,44593958480,148680,18480,3520,3880,13760,20640,24520,28120,63680,-3400,ok
167,44594093800,44594247920,154120,19320,3640,3960,13280,23360,27320,28800,65240,-3480,ok
168,44594349760,44594499840,150080,18680,3400,3720,13600,22280,26000,28000,63640,-3240,ok
169,44594600520,44594748880,148360,18320,3560,3880,13200,21640,25520,28240,62920,-3400,ok
170,44594849320,44594997440,148120,18400,3400,3720,13840,20920,24640,28000,63120,-3280,ok
171,44595097800,44595245800,148000,18480,3520,3880,13200,20880,24760,28480,63000,-3440,ok
172,44595346280,44595497440,151160,18680,3440,3760,13960,22240,26000,28680,63680,-3280,ok
173,44595598400,44595747120,148720,18280,3560,3920,13200,21840,25760,28320,63040,-3440,ok
174,44595847480,44595996040,148560,18560,3360,3680,14320,20440,24120,28200,63240,-3240,ok
175,44596147760,44596299400,151640,19480,3240,3760,13120,22000,25760,28720,64440,-3120,ok
176,44596400920,44596551920,151000,18720,3440,3800,14160,21400,25200,29400,63400,-3320,ok
177,44596652480,44596800960,148480,18040,3560,3880,13200,21600,25480,28360,63280,-3440,ok
178,44596901360,44597048560,147200,18360,3400,3720,14280,19480,23200,28400,62800,-3240,ok
179,44597184400,44597336720,152320,19280,3560,3920,13560,22880,26800,28400,64160,-3440,ok
180,44597439520,44597590920,151400,18480,3440,3760,14040,22200,25960,28960,63800,-3280,ok
181,44597691000,44597839720,148720,18280,3560,3920,12880,21760,25680,28240,63520,-3440,ok
182,44597939680,44598087560,147880,18520,3400,3720,14200,19920,23640,28280,63120,-3280,ok
183,44598187480,44598335240,147760,18040,3520,3840,13560,20520,24360,28120,63520,-3360,ok
184,44598435200,44598585120,149920,18800,3400,3720,14040,21240,24960,28680,63280,-3240,ok
185,44598685640,44598833400,147760,18160,3520,3880,13440,21080,24960,28040,63080,-3440,ok
186,44598933400,44599080960,147560,18480,3400,3720,14000,19960,23680,28320,62960,-3280,ok
187,44599181200,44599329720,148520,18280,3560,3960,13120,21200,25160,28560,63320,-3480,ok
188,44599430600,44599580600,150000,18760,3400,3720,14280,21280,25000,28760,63120,-3320,ok
189,44599681040,44599829360,148320,18200,3600,3880,13160,21760,25640,28200,63000,-3480,ok
190,44599994000,44600202280,208280,72800,2760,3480,14080,23600,27080,28920,65440,-2800,ok
191,44600307120,44600457080,149960,18080,3480,3800,13360,22400,26200,28520,63640,-3320,ok
192,44600558000,44600709120,151120,18280,3600,3920,14160,21800,25720,29280,63560,-3480,ok
193,44600809120,44600957560,148440,17880,3400,3720,13760,20880,24600,28240,63840,-3280,ok
194,44601057800,44601206120,148320,17880,3560,3880,14400,19720,23600,28760,63520,-3400,ok
195,44601306320,44601453720,147400,17840,3400,3720,13600,20600,24320,28040,63440,-3240,ok
196,44601553640,44601703240,149600,17920,3560,3920,14080,21120,25040,28880,63560,-3440,ok
197,44601803040,44601951000,147960,17880,3400,3720,13640,21080,24800,28160,63360,-3280,ok
198,44602050840,44602198600,147760,17600,3640,3960,14320,19520,23480,28800,63400,-3480,ok
199,44602298880,44602446960,148080,17760,3360,3680,13120,21240,24920,28360,63760,-3200,ok
200,44602547160,44602697160,150000,18080,3520,3760,13880,21920,25680,28600,63680,-3440,ok
201,44602797400,44602945280,147880,17520,3360,3760,13320,21480,25240,28000,63640,-3200,ok
202,44603081600,44603233160,151560,19280,3600,3920,14320,21800,25720,28520,63600,-3480,ok
203,44603335680,44603484280,148600,18360,3400,3760,13400,21120,24880,28200,63640,-3280,ok
204,44603584360,44603734760,150400,18080,3560,3920,13880,20160,24080,28960,65280,-3440,ok
205,44603835480,44603983720,148240,17960,3360,3720,13280,21760,25480,27880,63520,-3240,ok
206,44604137760,44604288760,151000,19080,3400,3720,13640,20760,24480,28280,65360,-3240,ok
207,44604389840,44604538360,148520,18280,3360,3800,13640,20440,24240,28600,63680,-3280,ok
208,44604637960,44604788200,150240,18560,3520,3840,13960,19920,23760,28760,65080,-3400,ok
209,44604888720,44605037560,148840,18040,3360,3680,13760,20800,24480,28800,63640,-3240,ok
210,44605138120,44605286520,148400,18240,3600,3880,13960,20000,23880,28600,63520,-3400,ok
211,44605386880,44605534920,148040,18200,3400,3800,13920,20040,23840,28480,63440,-3240,ok
212,44605635320,44605785400,150080,18120,3560,3880,14080,20080,23960,28240,65560,-3440,ok
213,44605920920,44606073440,152520,19720,3560,3920,13880,22440,26360,28680,63720,-3400,ok
214,44606175920,44606325600,149680,18000,3400,3720,14240,20440,24160,28720,64400,-3240,ok
215,44606425160,44606573480,148320,18080,3800,4120,13440,20680,24800,28280,63560,-3640,ok
216,44606672960,44606823480,150520,18720,3400,3720,13800,20880,24600,28040,65200,-3240,ok
217,44606922560,44607070960,148400,18000,3560,3920,13680,20960,24880,28240,63520,-3480,ok
218,44607170240,44607317680,147440,18080,3400,3760,13600,20560,24320,28120,63200,-3280,ok
219,44607417080,44607564880,147800,18080,3760,4160,13520,20560,24720,28360,62960,-3600,ok
220,44607664640,44607812880,148240,18400,3400,3680,13400,21440,25120,28040,63160,-3280,ok
221,44607912760,44608126080,213320,18240,3680,4080,13240,22280,26360,29120,126280,-3600,ok
222,44608229600,44608379960,150360,18600,3640,4080,13720,21240,25320,28360,64160,-3440,ok
223,44608480520,44608628720,148200,17880,3400,3760,13720,20560,24320,28120,64040,-3280,ok
224,44608762880,44608916040,153160,19360,3720,4120,13360,22920,27040,28200,65040,-3560,ok
