seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
74,65794799120,65794969640,170520,18200,3560,3920,13240,28720,32640,38520,67920,-3560,ok
75,65795071360,65795240200,168840,17920,3640,4000,13080,27480,31480,38800,67600,-3680,ok
76,65795378960,65795551800,172840,19360,3920,4280,13360,29160,33440,38840,67840,-3920,ok
77,65795656200,65795825640,169440,18160,3760,4160,13040,28040,32200,38920,67120,-3760,ok
78,65795927840,65796150040,222200,18240,3760,4080,13240,29520,33600,81560,75560,-3760,ok
79,65796253520,65796424960,171440,17400,3360,3760,13000,28880,32640,39240,69160,-3360,ok
80,65796526800,65796697520,170720,18120,3400,3760,12960,28200,31960,38920,68760,-3400,ok
81,65796799400,65796970880,171480,17520,3360,3760,13960,27000,30760,38960,70280,-3360,ok
82,65797072200,65797241760,169560,17600,3440,3800,12720,28560,32360,38320,68560,-3440,ok
83,65797343360,65797513160,169800,17440,3360,3760,13040,28000,31760,38880,68680,-3360,ok
84,65797613880,65797783080,169200,17800,3400,3720,13520,26960,30680,38520,68680,-3400,ok
85,65797884360,65798055440,171080,17720,3440,3800,13080,27320,31120,39800,69360,-3440,ok
86,65798156520,65798326480,169960,17840,3440,3840,13080,28480,32320,38160,68560,-3440,ok
87,65798464840,65798637920,173080,19280,3720,4040,13760,28840,32880,39240,67960,-3760,ok
88,65798741400,65798912160,170760,17880,3560,3920,13000,28240,32160,39080,68600,-3520,ok
89,65799013760,65799186400,172640,18240,3560,3920,13000,30080,34000,39360,68040,-3560,ok
90,65799287280,65799456400,169120,18200,3560,3880,13160,27600,31480,38680,67600,-3560,ok
91,65799557600,65799727840,170240,18080,3560,3720,12960,28240,31960,38960,68280,-3560,ok
92,65799828680,65799998720,170040,18240,3600,3960,12880,27840,31800,39000,68120,-3600,ok
93,65800151600,65800326840,175240,19880,3560,3960,13000,29240,33200,39960,69200,-3560,ok
94,65800429880,65800600080,170200,19120,3600,3960,13040,27960,31920,38800,67320,-3600,ok
95,65800701880,65800871640,169760,18480,3560,3960,13040,27240,31200,39200,67840,-3560,ok
96,65800972880,65801144800,171920,18720,3560,3920,13160,27320,31240,39120,69680,-3560,ok
97,65801246600,65801417240,170640,18560,3560,3920,13040,27720,31640,39480,67920,-3560,ok
98,65801518400,65801688040,169640,18480,3600,3960,13280,27280,31240,38680,68000,-3640,ok
99,65801857560,65802035600,178040,19840,3720,3960,13640,30360,34320,39880,70200,-3560,ok
100,65802142960,65802316800,173840,19160,3440,3760,13280,30000,33760,39240,68360,-3400,ok
101,65802417760,65802588440,170680,18280,3400,3760,13240,28280,32040,39440,67720,-3440,ok
102,65802689720,65802858760,169040,18080,3440,3840,13440,26800,30640,39120,67760,-3440,ok
103,65802959600,65803129400,169800,18200,3360,3760,13200,27640,31400,39160,67840,-3360,ok
104,65803230720,65803402080,171360,18240,3400,3760,13000,29360,33120,39240,67720,-3360,ok
105,65803502920,65803673000,170080,18320,3400,3760,13240,27600,31360,39200,67960,-3400,ok
106,65803774080,65803943240,169160,18040,3400,3840,12840,27560,31400,39000,67880,-3400,ok
107,65804100120,65804275600,175480,20000,3640,4080,13040,27320,31400,40000,71040,-3640,ok
108,65804379320,65804548560,169240,18880,3640,4080,13440,27120,31200,38320,67360,-3600,ok
109,65804649320,65804818280,168960,18480,3600,4080,12560,27400,31480,38920,67520,-3600,ok
110,65804958800,65805129760,170960,19680,3840,4280,12800,28960,33240,38600,66680,-3880,ok
111,65805233040,65805404400,171360,18120,3640,4080,13120,27680,31760,40520,67840,-3640,ok
112,65805505960,65805675560,169600,18600,3640,4080,12320,28880,32960,38280,67440,-3640,ok
113,65805777280,65805946360,169080,18040,3640,4080,12880,27480,31560,39120,67520,-3680,ok
114,65806048040,65806215560,167520,17960,3680,4160,12640,27560,31720,38160,67000,-3640,ok
115,65806317360,65806488160,170800,18120,3640,4080,12680,29360,33440,39280,67280,-3640,ok
116,65806589400,65806757680,168280,18240,3760,4120,12720,28280,32400,37880,67080,-3800,ok
117,65806859000,65807027760,168760,18240,3720,4080,12600,27680,31760,38880,67320,-3760,ok
118,65807128920,65807296840,167920,18080,3760,4120,12400,28160,32280,38040,67120,-3760,ok
119,65807397480,65807568000,170520,17960,3720,4040,12800,29440,33480,39000,67240,-3680,ok
120,65807668920,65807836800,167880,18280,3720,4080,12520,28160,32240,37880,66960,-3720,ok
121,65807938000,65808156120,218120,18120,3720,4080,12480,29880,33960,79240,74480,-3880,ok
122,65808295640,65808470880,175240,18880,3720,4040,12480,30240,34280,39320,70280,-3720,ok
123,65808575160,65808745280,170120,17960,3520,3880,13080,27880,31760,39000,68360,-3560,ok
124,65808846280,65809015880,169600,18120,3600,3960,12520,27920,31880,38640,68440,-3600,ok
125,65809116160,65809285360,169200,18280,3520,3920,12680,27400,31320,38920,68000,-3520,ok
126,65809385760,65809555360,169600,18040,3560,3920,12720,27240,31160,38320,69360,-3560,ok
127,65809655520,65809825360,169840,18120,3560,3920,12240,28160,32080,38960,68480,-3600,ok
128,65809925480,65810094640,169160,18200,3560,3920,12680,27560,31480,38480,68280,-3520,ok
129,65810195240,65810364480,169240,18040,3560,3920,12960,27200,31120,38920,68200,-3560,ok
130,65810464640,65810635640,171000,18000,3640,3920,12400,28080,32000,39880,68720,-3640,ok
131,65810735800,65810905520,169720,18000,3520,3920,12600,27920,31840,38960,68320,-3520,ok
132,65811006640,65811175880,169240,18080,3560,3880,13040,27560,31440,38360,68280,-3520,ok
133,65811309520,65811481160,171640,18880,3720,4080,12720,29080,33160,39000,67880,-3720,ok
134,65811583200,65811754560,171360,18320,3560,3920,13000,29360,33280,38760,68000,-3560,ok
135,65811854920,65812072200,217280,17920,3600,3960,13240,27680,31640,39040,115480,-3640,ok
136,65812174040,65812345080,171040,18240,3440,3800,12280,29080,32880,38160,69480,-3440,ok
137,65812447800,65812617480,169680,17960,3400,3800,12320,28640,32440,38800,68160,-3400,ok
138,65812718280,65812888840,170560,17960,3400,3760,12480,29920,33680,38520,67880,-3360,ok
139,65812989800,65813158440,168640,17760,3400,3800,12000,28520,32320,38600,68000,-3440,ok
140,65813258920,65813427800,168880,18080,3400,3760,12320,28200,31960,38360,68160,-3400,ok
141,65813528520,65813698360,169840,18040,3440,3800,12800,27320,31120,38480,69440,-3480,ok
142,65813798840,65813967840,169000,17880,3400,3760,12360,28560,32320,38400,68040,-3400,ok
143,65814068520,65814237840,169320,17760,3400,3760,12120,28760,32520,38400,68560,-3440,ok
144,65814338560,65814507080,168520,18040,3440,3760,12280,28080,31840,38480,67840,-3400,ok
145,65814677800,65814859320,181520,19360,4040,4400,13200,33800,38200,39680,71120,-4080,ok
146,65814966880,65815138160,171280,18960,3520,3920,12240,29560,33480,38520,68120,-3560,ok
147,65815239440,65815409000,169560,18280,3520,3920,13040,27760,31680,38440,68120,-3520,ok
148,65815510040,65815678040,168000,18360,3560,4000,12600,27120,31120,38400,67520,-3560,ok
149,65815778640,65815949520,170880,18360,3520,3880,12760,29640,33520,38480,67760,-3520,ok
150,65816108480,65816281880,173400,19480,3520,3880,12520,28560,32440,39560,69400,-3520,ok
