seq,t0_ns,t1_ns,rtt_ns,syscall_in,notify,fwd_raw,turnaround,rev_raw,transport,workwait,wake,residual,status
74,192182029120,192182205640,176520,18000,3720,3800,13320,31240,35040,39800,70200,-3560,ok
75,192182312200,192182482520,170320,17960,3760,3680,13840,27120,30800,39280,68240,-3560,ok
76,192182585240,192182757520,172280,17880,3680,3760,13360,28720,32480,39160,69200,-3480,ok
77,192182859760,192183032800,173040,18120,3680,3800,13360,29440,33240,39520,68600,-3480,ok
78,192183136040,192183308000,171960,18320,3760,3800,13440,28440,32240,39400,68400,-3600,ok
79,192183411760,192183583400,171640,18120,3840,3840,13600,28040,31880,39240,68640,-3680,ok
80,192183687200,192183859200,172000,18280,3800,3760,13480,28320,32080,39400,68560,-3600,ok
81,192183962600,192184182880,220280,18040,3800,3800,13800,31360,35160,79440,73680,-3640,ok
82,192184287600,192184459640,172040,17680,3840,3800,13760,28680,32480,39400,68520,-3640,ok
83,192184563160,192184733520,170360,17840,3800,3760,15080,25800,29560,39240,68480,-3640,ok
84,192184836080,192185008640,172560,17800,3800,3760,13680,28120,31880,40000,69040,-3640,ok
85,192185111960,192185282720,170760,17880,3800,3760,13160,28200,31960,38960,68600,-3600,ok
86,192185419440,192185596760,177320,18080,3760,3760,13320,31120,34880,39960,70960,-3640,ok
87,192185701880,192185874360,172480,18160,3760,3520,13600,28000,31520,39800,69200,-3560,ok
88,192185976000,192186150600,174600,17960,3800,3800,13160,31040,34840,39240,69240,-3640,ok
89,192186252880,192186424640,171760,18080,3800,3760,13480,28080,31840,39720,68440,-3600,ok
90,192186527520,192186699800,172280,17880,3800,3800,13480,28400,32200,39320,69200,-3600,ok
91,192186802960,192186975040,172080,17800,3880,3800,13040,28880,32680,39600,68760,-3680,ok
92,192187078040,192187252120,174080,17920,3760,3760,13440,30360,34120,39320,69160,-3640,ok
93,192187354920,192187526400,171480,18200,3800,3800,13240,28280,32080,39680,68160,-3680,ok
94,192187629120,192187800320,171200,18000,3760,3800,13600,28240,32040,39080,68360,-3640,ok
95,192187902720,192188126920,224200,17920,3760,3800,13320,28200,32000,85400,75440,-3640,ok
96,192188231480,192188404880,173400,17600,3840,3880,13400,29640,33520,39560,69120,-3640,ok
97,192188575840,192188756840,181000,19280,3800,3720,13600,32480,36200,40040,71720,-3640,ok
98,192188864360,192189035760,171400,18640,3640,3600,13320,28360,31960,38920,68400,-3480,ok
99,192189139600,192189314240,174640,18120,3720,3800,13400,30440,34240,38960,69720,-3520,ok
100,192189417000,192189589040,172040,18120,3800,3720,13600,28560,32280,39280,68560,-3600,ok
101,192189692440,192189864720,172280,17800,3800,3840,13240,28520,32360,39760,69000,-3680,ok
102,192189967600,192190139160,171560,17720,3840,3800,13440,28440,32240,39400,68560,-3640,ok
103,192190242400,192190415720,173320,17600,3840,3800,13200,30240,34040,39080,69240,-3680,ok
104,192190518840,192190690200,171360,18080,3800,3760,13520,28560,32320,39120,68160,-3640,ok
105,192190793240,192190964480,171240,17600,3840,3760,13400,28360,32120,39200,68760,-3680,ok
106,192191067080,192191239160,172080,17600,3800,3760,13280,28360,32120,39040,69880,-3640,ok
107,192191341720,192191514160,172440,17720,3840,3760,14040,28320,32080,39280,69160,-3680,ok
108,192191650480,192191827040,176560,18320,3800,3760,13720,30280,34040,39760,70520,-3600,ok
109,192191931360,192192152880,221520,17920,3760,3480,13000,28720,32200,83040,75160,-3560,ok
110,192192256680,192192430360,173680,17160,3680,3600,13440,30720,34320,39080,69480,-3480,ok
111,192192532600,192192704760,172160,17640,3800,3760,13080,28840,32600,39200,69440,-3600,ok
112,192192806840,192192978000,171160,17600,3760,3720,13280,28400,32120,38960,69040,-3600,ok
113,192193080640,192193251800,171160,17360,3800,3760,13680,27760,31520,39080,69360,-3640,ok
114,192193353760,192193525880,172120,17320,3800,3720,13200,30360,34080,38680,68680,-3640,ok
115,192193628240,192193799240,171000,17360,3800,3800,13360,28360,32160,38880,69080,-3640,ok
116,192193900840,192194071120,170280,17440,3800,3760,13000,28360,32120,38720,68800,-3600,ok
117,192194173080,192194343520,170440,17400,3800,3760,13160,28080,31840,39080,68760,-3600,ok
118,192194445320,192194616920,171600,17160,3800,3760,13480,29920,33680,38600,68480,-3600,ok
119,192194754600,192194932480,177880,18080,3840,3760,13080,31320,35080,40000,71440,-3640,ok
120,192195038080,192195209360,171280,17720,3880,3600,12400,29760,33360,38920,68680,-3680,ok
121,192195311680,192195485640,173960,17640,3880,3840,12720,29320,33160,39320,70960,-3720,ok
122,192195587720,192195759840,172120,17600,3840,3800,12840,29840,33640,38880,69000,-3680,ok
123,192195862600,192196084520,221920,17600,3800,3760,12520,29680,33440,39040,119160,-3640,ok
124,192196190080,192196363680,173600,17840,3800,3760,12760,30640,34400,40040,68400,-3640,ok
125,192196467120,192196640360,173240,17840,3640,3640,12800,30840,34480,39400,68520,-3440,ok
126,192196741600,192196911800,170200,17520,3880,3840,12720,29400,33240,38800,67760,-3720,ok
127,192197013600,192197183760,170160,17760,3800,3760,12960,28400,32160,38840,68280,-3640,ok
128,192197285120,192197455400,170280,17960,3800,3760,12760,28800,32560,38840,67960,-3600,ok
129,192197557400,192197729640,172240,17680,3800,3760,12920,30240,34000,39040,68400,-3600,ok
130,192197865640,192198041880,176240,18000,3840,3800,12640,31920,35720,39640,70040,-3640,ok
131,192198147680,192198319400,171720,18040,3880,3600,13360,28560,32160,39200,68800,-3720,ok
132,192198421440,192198594960,173520,17760,3880,3840,12840,28760,32600,39120,71040,-3720,ok
133,192198697200,192198869480,172280,17920,3840,3800,13120,28920,32720,39360,68960,-3640,ok
134,192198971640,192199142600,170960,17640,3800,3760,13000,28480,32240,39400,68520,-3640,ok
135,192199244800,192199417400,172600,17640,3760,3720,12960,28800,32520,39680,69600,-3560,ok
136,192199520040,192199693240,173200,17920,3840,3800,12840,28840,32640,40760,68840,-3640,ok
137,192199796360,192199967320,170960,17920,3800,3760,12480,29080,32840,39040,68480,-3600,ok
138,192200125400,192200299200,173800,17640,3720,3840,12560,29440,33280,40040,70080,-3520,ok
139,192200403320,192200571960,168640,17320,3560,3640,13040,28440,32080,38600,67400,-3360,ok
140,192200674840,192200847680,172840,17840,3680,3800,12960,30040,33840,39160,68920,-3560,ok
141,192201016600,192201195200,178600,18600,3800,3760,12920,32560,36320,39640,70920,-3600,ok
142,192201302800,192201474240,171440,17920,3800,3720,12800,28720,32440,39120,69000,-3640,ok
143,192201578080,192201751760,173680,17600,3680,3840,12480,30040,33880,38840,70720,-3520,ok
144,192201855200,192202027080,171880,17920,3680,3800,12520,29880,33680,38680,68880,-3480,ok
145,192202130160,192202300800,170640,17600,3640,3760,13000,29400,33160,38560,68120,-3440,ok
146,192202403240,192202574840,171600,17640,3680,3800,12600,29200,33000,39120,69080,-3520,ok
147,192202678240,192202850520,172280,17440,3680,3800,12560,29480,33280,39840,68960,-3480,ok
148,192202953960,192203125560,171600,17720,3720,3840,12520,29600,33440,38840,68880,-3520,ok
149,192203228360,192203398160,169800,17600,3680,3800,12720,28840,32640,38520,68120,-3480,ok
150,192203500840,192203670880,170040,17360,3760,3840,12200,29400,33240,38720,68320,-3560,ok
151,192203773640,192203946240,172600,17440,3680,3840,12800,30960,34800,38480,68880,-3480,ok
152,192204107000,192204282480,175480,18000,3520,3800,12800,29040,32840,40320,71360,-3360,ok
153,192204424680,192204601400,176720,18160,3680,3800,12920,31200,35000,39600,70840,-3480,ok
154,192204708080,192204881160,173080,17320,3560,3480,12360,29480,32960,39440,70800,-3360,ok
155,192204983160,192205155800,172640,17720,3680,3760,13240,29000,32760,38720,70000,-3480,ok
156,192205257920,192205429760,171840,17840,3720,3880,12440,28760,32640,39080,69680,-3560,ok
157,192205532840,192205704400,171560,17640,3720,3840,12600,29080,32920,39040,69160,-3520,ok
158,192205807280,192205979240,171960,17600,3720,3800,12720,28600,32400,39160,69920,-3560,ok
159,192206082680,192206253480,170800,17600,3680,3800,12960,28680,32480,38760,68800,-3480,ok
160,192206355800,192206526040,170240,17680,3680,3800,12640,28840,32640,38880,68200,-3480,ok
161,192206628720,192206798720,170000,17400,3680,3800,12960,28440,32240,38760,68440,-3480,ok
162,192206901200,192207072840,171640,17480,3760,3840,12600,30400,34240,38880,68240,-3560,ok
163,192207176080,192207346960,170880,17440,3800,3760,12240,29560,33320,38840,68840,-3600,ok
164,192207480600,192207657120,176520,17520,3840,3800,12680,31160,34960,40240,70920,-3640,ok
165,192207761440,192207931720,170280,17560,3720,3480,12840,29160,32640,38800,68320,-3600,ok
166,192208089880,192208265920,176040,19280,3520,3600,12560,30160,33760,39760,70520,-3360,ok
167,192208370280,192208541160,170880,17800,3640,3600,12800,28800,32400,38680,69000,-3440,ok
168,192208643600,192208813800,170200,17960,3800,3800,12760,28160,31960,39240,68120,-3640,ok
169,192208915840,192209088040,172200,17600,3880,3800,12600,29320,33120,38800,69920,-3720,ok
170,192209190920,192209361400,170480,17560,3800,3800,12800,28800,32600,39000,68400,-3680,ok
171,192209463840,192209633720,169880,17600,3840,3760,12480,29080,32840,38440,68360,-3680,ok
172,192209735880,192209905760,169880,17600,3800,3760,12320,28800,32560,38960,68240,-3600,ok
173,192210007600,192210179160,171560,17720,3800,3760,12840,28960,32720,39560,68520,-3600,ok
174,192210281440,192210452320,170880,17680,3800,3760,12920,28960,32720,38840,68560,-3640,ok
175,192210590440,192210766280,175840,18320,3800,3760,13040,30600,34360,39520,70400,-3600,ok
176,192210872080,192211043080,171000,18240,3920,3640,13040,29000,32640,38680,68200,-3720,ok
177,192211145440,192211318440,173000,18040,3800,3720,13200,30760,34480,38720,68360,-3600,ok
178,192211420680,192211591880,171200,18200,3760,3760,12880,29320,33080,38800,68120,-3640,ok
179,192211694840,192211865400,170560,18200,3800,3760,13120,28440,32200,38960,67880,-3600,ok
180,192211968600,192212186000,217400,18080,3800,3800,13080,30040,33840,78960,73280,-3640,ok
181,192212290320,192212464240,173920,17960,3800,3760,12960,31200,34960,38960,68960,-3680,ok
182,192212566600,192212736920,170320,17640,3840,3800,13040,28560,32360,38880,68240,-3680,ok
183,192212838520,192213008040,169520,17600,3840,3800,12840,28360,32160,38320,68440,-3680,ok
184,192213109960,192213282560,172600,17880,3800,3760,12880,28440,32200,39000,70440,-3600,ok
185,192213384480,192213555000,170520,17720,3800,3760,12800,29120,32880,38120,68880,-3680,ok
186,192213725120,192213903520,178400,18480,3720,3720,12840,31840,35560,39800,71600,-3600,ok
187,192214010240,192214181720,171480,18480,3560,3480,13200,28280,31760,39040,68840,-3400,ok
188,192214284160,192214459000,174840,18400,3880,4000,13360,29880,33880,39440,69600,-3720,ok
189,192214561040,192214733120,172080,18360,3800,3760,13720,28360,32120,38840,68880,-3640,ok
190,192214835640,192215006840,171200,18000,3960,3960,13200,28160,32120,39280,68480,-3840,ok
191,192215108680,192215279760,171080,18000,3800,3720,13000,28760,32480,38600,68840,-3640,ok
192,192215381360,192215554800,173440,18040,3800,3720,13120,30440,34160,39400,68520,-3600,ok
193,192215656440,192215826840,170400,18000,3760,3760,13080,28880,32640,38400,68120,-3600,ok
194,192215928600,192216148600,220000,17840,3760,3760,13200,27960,31720,82680,74400,-3600,ok
195,192216253160,192216426680,173520,17800,3800,3760,12560,29360,33120,39520,70360,-3640,ok
196,192216528960,192216701000,172040,18200,3800,3760,13200,28200,31960,39080,69400,-3600,ok
197,192216840040,192217016800,176760,18480,3800,3760,12600,31000,34760,39560,71160,-3600,ok
198,192217120160,192217291320,171160,18040,3760,3520,13200,28440,31960,39600,68200,-3600,ok
199,192217393160,192217567200,174040,18160,3880,3800,12720,30880,34680,39000,69280,-3680,ok
200,192217669320,192217841080,171760,18360,3800,3760,12800,29120,32880,39280,68240,-3600,ok
201,192217943040,192218114480,171440,18200,3800,3720,12800,28600,32320,39120,68800,-3600,ok
202,192218216400,192218387320,170920,17800,3800,3720,12960,28680,32400,39480,68080,-3600,ok
203,192218489560,192218661440,171880,17840,3840,3760,12880,30520,34280,38680,68040,-3680,ok
204,192218763000,192218933840,170840,17840,3800,3760,13040,28600,32360,39080,68360,-3640,ok
205,192219036280,192219206280,170000,18160,3840,3760,12720,28560,32320,38720,67880,-3640,ok
206,192219307560,192219477720,170160,17600,3840,3760,12680,28880,32640,39360,67720,-3680,ok
207,192219579360,192219751560,172200,17840,3800,3760,12680,30800,34560,38520,68400,-3600,ok
208,192219883360,192220112120,228760,17640,3760,3760,12560,31400,35160,39800,123480,-3640,ok
209,192220217480,192220389840,172360,17720,3760,3680,13480,28720,32400,39280,69280,-3560,ok
210,192220490960,192220663360,172400,17560,3640,3760,12800,28680,32440,40080,69360,-3480,ok
211,192220764440,192220935160,170720,17640,3680,3800,13320,28520,32320,38120,69160,-3520,ok
212,192221036480,192221207000,170520,17720,3680,3760,12680,28560,32320,38640,69000,-3520,ok
213,192221308280,192221478680,170400,17520,3720,3800,13160,28320,32120,38760,68680,-3560,ok
214,192221579760,192221752280,172520,17240,3640,3760,12600,30960,34720,39040,68760,-3480,ok
215,192221853480,192222024160,170680,17520,3800,3760,13200,29040,32800,38120,68840,-3600,ok
216,192222125320,192222295600,170280,17760,3760,3760,12680,29000,32760,38520,68440,-3640,ok
